Student ID,Last Name,First Name,Email,NetID,Acad Plan,Advisors
1234567,Lastname1,Firstname1,Firstname1Lastname1@duke.edu,fl1,E-EGR-ECE,adh25
1234568,Lastname2,Firstname2,Firstname2Lastname2@duke.edu,fl2,E-EGR-ECE,adh25
1234569,Lastname3,Firstname3,Firstname3Lastname3@duke.edu,fl3,E-EGR-ECE,adh25
1234570,Lastname4,Firstname4,Firstname4Lastname4@duke.edu,fl4,E-EGR-ECE,adh25
1234571,Lastname5,Firstname5,Firstname5Lastname5@duke.edu,fl5,E-EGR-ECE,adh25
1234572,Lastname6,Firstname6,Firstname6Lastname6@duke.edu,fl6,E-EGR-ECE,adh25
1234573,Lastname7,Firstname7,Firstname7Lastname7@duke.edu,fl7,E-EGR-ECE,adh25
1234574,Lastname8,Firstname8,Firstname8Lastname8@duke.edu,fl8,G-ECE-MS,adh25
1234575,Lastname9,Firstname9,Firstname9Lastname9@duke.edu,fl9,G-ECE-MS,adh25
1234576,Lastname10,Firstname10,Firstname10Lastname10@duke.edu,fl10,G-ECE-MS,adh25
1234577,Lastname11,Firstname11,Firstname11Lastname11@duke.edu,fl11,G-ECE-MS,adh25
1234578,Lastname12,Firstname12,Firstname12Lastname12@duke.edu,fl12,G-ECE-MS,adh25
1234579,Lastname13,Firstname13,Firstname13Lastname13@duke.edu,fl13,G-ECE-MS,adh25
1234580,Lastname14,Firstname14,Firstname14Lastname14@duke.edu,fl14,G-ECE-MS,adh25
1234581,Lastname15,Firstname15,Firstname15Lastname15@duke.edu,fl15,G-ECE-PHD,adh25
1234582,Lastname16,Firstname16,Firstname16Lastname16@duke.edu,fl16,G-ECE-PHD,adh25
1234583,Lastname17,Firstname17,Firstname17Lastname17@duke.edu,fl17,G-ECE-PHD,adh25
1234584,Lastname18,Firstname18,Firstname18Lastname18@duke.edu,fl18,G-ECE-PHD,adh25
1234585,Lastname19,Firstname19,Firstname19Lastname19@duke.edu,fl19,G-ECE-PHD,adh25
1234586,Lastname20,Firstname20,Firstname20Lastname20@duke.edu,fl20,G-ECE-PHD,adh25
1234587,Lastname21,Firstname21,Firstname21Lastname21@duke.edu,fl21,G-ECE-PHD,adh25
